stage,model,step,actor_pg_loss,actor_kl_loss,actor_entropy_loss,actor_grad_norm,actor_lr,em,reward,avg_searches,no_search_ratio,search_cost,posthoc_utility,response_length,response_clip_ratio,step_seconds,val_em,val_avg_searches,val_no_search_ratio,val_utility
R,Reproduced,14,-0.067082,0.001615,1.232991,2.941117,1e-06,0.025,0.025,0.8,0.525,0.0,0.0049999999999999975,659.200012,0.025,379.537655,,,,
R,Reproduced,15,0.089443,0.001449,1.097108,9.463651,1e-06,0.075,0.075,1.05,0.475,0.0,0.048749999999999995,703.200012,0.025,406.648151,,,,
R,Reproduced,16,-0.018257,0.001289,1.119168,3.437104,1e-06,0.05,0.05,0.825,0.525,0.0,0.029375000000000002,708.375,0.025,415.004848,,,,
R,Reproduced,17,-0.022361,0.002953,1.245037,2.031795,1e-06,0.025,0.025,0.725,0.55,0.0,0.006875000000000003,549.799988,0.025,381.244113,,,,
R,Reproduced,18,-0.067082,0.004192,1.20732,3.106477,1e-06,0.025,0.025,0.75,0.475,0.0,0.006249999999999999,523.424988,0.025,368.758754,,,,
R,Reproduced,19,0.0,0.006845,1.1132,0.037898,1e-06,0.0,0.0,0.575,0.675,0.0,-0.014374999999999999,540.450012,0.025,335.56372,,,,
R,Reproduced,20,0.0,0.005935,1.116811,0.039728,1e-06,0.0,0.0,0.725,0.5,0.0,-0.018125,544.799988,0.025,341.39442,,,,
R,Reproduced,21,0.0,0.023689,1.255691,0.038466,1e-06,0.0,0.0,0.45,0.675,0.0,-0.011250000000000001,455.25,0.025,287.688447,,,,
R,Reproduced,22,0.0,0.006866,1.295553,0.038239,1e-06,0.0,0.0,0.675,0.525,0.0,-0.016875,587.724976,0.025,352.238225,,,,
R,Reproduced,23,0.0,0.007501,1.333698,0.04313,1e-06,0.0,0.0,0.4,0.65,0.0,-0.010000000000000002,414.625,0.025,285.118023,,,,
R,Reproduced,24,-0.022361,0.015565,1.241569,1.277855,1e-06,0.025,0.025,0.725,0.55,0.0,0.006875000000000003,630.924988,0.025,384.382001,,,,
R,Reproduced,25,0.036515,0.00495,1.297892,3.323214,1e-06,0.05,0.05,0.625,0.65,0.0,0.034375,475.149994,0.025,307.373693,,,,
R,Reproduced,26,0.022361,0.027503,1.310207,3.679438,1e-06,0.025,0.025,0.5,0.7,0.0,0.0125,391.0,0.025,275.25433,,,,
R,Reproduced,27,-0.089443,0.079451,1.233531,3.651469,1e-06,0.1,0.1,0.525,0.625,0.0,0.08687500000000001,417.225006,0.025,291.438214,,,,
R,Reproduced,28,0.0,0.034027,1.340973,0.042562,1e-06,0.0,0.0,0.525,0.7,0.0,-0.013125000000000001,439.200012,0.025,280.833765,,,,
R,Reproduced,29,-0.067082,0.021272,1.416015,3.18124,1e-06,0.1,0.1,0.475,0.725,0.0,0.08812500000000001,407.274994,0.025,259.702903,,,,
R,Reproduced,30,0.0,0.017632,1.282162,0.076318,1e-06,0.0,0.0,0.625,0.625,0.0,-0.015625,466.024994,0.025,289.658957,,,,
R,Reproduced,31,-0.044721,0.035762,1.463358,4.920511,1e-06,0.025,0.025,0.725,0.525,0.0,0.006875000000000003,520.424988,0.025,304.275135,,,,
R,Reproduced,32,0.018257,0.110558,1.369193,4.847216,1e-06,0.125,0.125,0.925,0.4,0.0,0.101875,591.424988,0.025,326.886916,,,,
R,Reproduced,33,0.062979,0.02442,1.049423,4.127498,1e-06,0.075,0.075,1.125,0.275,0.0,0.046875,791.025024,0.025,399.19467,,,,
R,Reproduced,34,-0.03467,0.033344,1.335859,5.549913,1e-06,0.125,0.125,0.95,0.35,0.0,0.10125,587.450012,0.025,316.884893,,,,
R,Reproduced,35,0.044721,0.156392,1.40413,5.076467,1e-06,0.025,0.025,0.95,0.375,0.0,0.0012500000000000011,591.849976,0.025,285.297476,,,,
R,Reproduced,36,0.0,0.061994,1.433642,0.047744,1e-06,0.0,0.0,1.225,0.125,0.0,-0.030625000000000003,716.674988,0.025,338.858228,,,,
R,Reproduced,37,-0.036515,0.032344,1.137329,2.696852,1e-06,0.05,0.05,1.2,0.25,0.0,0.020000000000000004,680.299988,0.025,331.692019,,,,
R,Reproduced,38,-0.067082,0.022679,1.204365,4.714145,1e-06,0.15,0.15,1.375,0.1,0.0,0.11562499999999999,797.099976,0.025,367.361258,,,,
R,Reproduced,39,-0.018257,0.068646,1.322605,5.61264,1e-06,0.05,0.05,1.425,0.125,0.0,0.014374999999999999,787.525024,0.025,390.592295,,,,
R,Reproduced,40,-0.040618,0.016269,1.093396,4.432544,1e-06,0.15,0.15,1.35,0.15,0.0,0.11624999999999999,763.299988,0.025,375.635978,,,,
R,Reproduced,41,0.018257,0.137145,1.19778,5.589084,1e-06,0.175,0.175,1.15,0.125,0.0,0.14625,684.674988,0.025,368.024082,,,,
R,Reproduced,42,0.067082,0.052773,1.08645,4.508872,1e-06,0.125,0.125,1.2,0.2,0.0,0.095,705.775024,0.025,362.638575,,,,
R,Reproduced,43,0.0,0.134316,1.098756,0.044291,1e-06,0.0,0.0,1.425,0.175,0.0,-0.035625000000000004,836.525024,0.025,411.858292,,,,
R,Reproduced,44,0.089443,0.288129,1.288936,3.682402,1e-06,0.075,0.075,1.35,0.25,0.0,0.041249999999999995,818.575012,0.025,411.55097,,,,
R,Reproduced,45,-0.07303,0.177717,1.312183,1.743654,1e-06,0.075,0.075,1.4,0.15,0.0,0.04,871.775024,0.025,402.203955,,,,
R,Reproduced,46,-0.010051,0.174765,1.281065,6.353333,1e-06,0.25,0.25,1.575,0.2,0.0,0.210625,852.075012,0.025,475.022035,,,,
R,Reproduced,47,0.0,0.055059,1.198074,0.047765,1e-06,0.0,0.0,1.3,0.275,0.0,-0.0325,718.400024,0.025,397.20874,,,,
R,Reproduced,48,0.0,0.015674,1.248896,0.039653,1e-06,0.0,0.0,1.3,0.275,0.0,-0.0325,792.674988,0.025,393.43485,,,,
R,Reproduced,49,-0.067082,0.317976,1.279309,2.462539,1e-06,0.025,0.025,1.175,0.275,0.0,-0.004375,692.099976,0.025,393.493546,,,,
R,Reproduced,50,-0.036515,0.140177,1.36742,3.554238,1e-06,0.05,0.05,1.775,0.1,0.0,0.005625000000000005,1020.200012,0.025,478.041798,,,,
R,Reproduced,51,-0.07303,0.149134,1.338,6.272896,1e-06,0.225,0.225,0.75,0.425,0.0,0.20625,475.950012,0.025,293.362126,,,,
R,Reproduced,52,0.0,0.06133,1.223127,0.039124,1e-06,0.0,0.0,0.9,0.25,0.0,-0.022500000000000003,530.349976,0.025,312.356309,,,,
R,Reproduced,53,-0.044721,0.107734,1.215603,2.684593,1e-06,0.025,0.025,1.225,0.275,0.0,-0.0056250000000000015,782.424988,0.025,418.657031,,,,
R,Reproduced,54,0.050669,0.086062,1.314522,6.110901,1e-06,0.2,0.2,1.1,0.25,0.0,0.17250000000000001,598.674988,0.025,351.403734,,,,
R,Reproduced,55,0.0,0.260264,1.415633,0.036717,1e-06,0.0,0.0,1.4,0.15,0.0,-0.034999999999999996,797.950012,0.025,398.376913,,,,
R,Reproduced,56,0.184833,0.116054,1.380088,4.916885,1e-06,0.125,0.125,1.325,0.175,0.0,0.091875,651.674988,0.025,374.462777,,,,
R,Reproduced,57,0.067082,0.184169,1.224846,3.840273,1e-06,0.2,0.2,1.25,0.175,0.0,0.16875,683.549988,0.025,360.163039,,,,
R,Reproduced,58,0.022361,0.056829,1.224613,3.291077,1e-06,0.1,0.1,1.325,0.2,0.0,0.066875,737.825012,0.025,385.361856,,,,
R,Reproduced,59,0.044721,0.228545,1.155868,1.432634,1e-06,0.025,0.025,1.2,0.2,0.0,-0.0049999999999999975,720.700012,0.025,393.718221,,,,
R,Reproduced,60,-0.054772,0.243226,1.347495,3.580405,1e-06,0.1,0.1,1.45,0.05,0.0,0.06375,786.075012,0.025,908.249075,0.234375,1.28125,0.0,0.234375
B,Control,1,0.07303,0.000894,1.109136,2.475959,0.0,0.05,0.05,1.05,0.175,0.0,0.02375,585.375,0.025,347.045623,,,,
B,Control,2,-0.010051,0.000352,1.192389,4.211189,0.0,0.1,0.1,1.25,0.225,0.0,0.06875,647.724976,0.025,367.69602,,,,
B,Control,3,-0.052928,0.00092,1.28905,5.885605,1e-06,0.25,0.25,0.95,0.275,0.0,0.22625,573.375,0.025,325.591404,,,,
B,Control,4,-0.008206,0.000722,1.226526,4.31222,1e-06,0.15,0.15,1.325,0.175,0.0,0.11687499999999999,666.724976,0.025,350.675198,,,,
B,Control,5,0.036515,0.011059,1.133956,3.001875,1e-06,0.05,0.05,1.225,0.15,0.0,0.019375,723.349976,0.025,356.612498,,,,
B,Control,6,0.022361,0.005518,1.256218,5.691995,1e-06,0.15,0.15,1.625,0.125,0.0,0.109375,883.200012,0.025,402.28385,,,,
B,Control,7,-0.044721,0.004619,1.202108,2.145423,1e-06,0.15,0.15,1.85,0.1,0.0,0.10374999999999998,982.049988,0.025,439.411878,,,,
B,Control,8,0.134164,0.03377,1.434925,5.742682,1e-06,0.125,0.125,1.625,0.05,0.0,0.084375,861.474976,0.025,435.584932,,,,
B,Control,9,-0.058875,0.020448,1.033589,5.025385,1e-06,0.175,0.175,1.675,0.025,0.0,0.133125,843.599976,0.025,426.447616,,,,
B,Control,10,-0.089443,0.205353,1.219377,5.069363,1e-06,0.15,0.15,1.4,0.0,0.0,0.11499999999999999,699.525024,0.025,371.236678,,,,
B,Control,11,0.044721,0.037437,1.282396,4.245113,1e-06,0.15,0.15,1.075,0.025,0.0,0.123125,573.599976,0.025,331.994102,,,,
B,Control,12,0.0,0.205934,1.109311,0.045388,1e-06,0.125,0.125,1.15,0.05,0.0,0.09625,666.400024,0.025,364.915219,,,,
B,Control,13,-0.067082,0.154162,1.102811,3.982081,1e-06,0.025,0.025,0.975,0.075,0.0,0.0006250000000000006,499.850006,0.025,312.931336,,,,
B,Control,14,-0.07303,0.04158,1.181867,3.037145,1e-06,0.075,0.075,1.075,0.0,0.0,0.048125,561.0,0.025,319.28296,,,,
B,Control,15,0.125957,0.080555,1.213587,5.761694,1e-06,0.125,0.125,1.05,0.0,0.0,0.09875,517.900024,0.025,308.934962,,,,
B,Control,16,0.156524,0.074203,1.2879,6.145462,1e-06,0.075,0.075,1.05,0.0,0.0,0.048749999999999995,509.75,0.025,311.303044,,,,
B,Control,17,0.109544,0.051704,1.218657,5.378098,1e-06,0.15,0.15,1.1,0.0,0.0,0.1225,560.349976,0.025,317.862784,,,,
B,Control,18,0.0,0.126916,1.156126,0.046081,1e-06,0.25,0.25,1.025,0.0,0.0,0.224375,497.424988,0.025,290.043182,,,,
B,Control,19,0.022361,0.104824,1.215582,4.704822,1e-06,0.025,0.025,1.025,0.0,0.0,-0.0006249999999999971,505.5,0.025,309.043036,,,,
B,Control,20,0.085339,0.097313,1.207487,4.200759,1e-06,0.15,0.15,1.1,0.0,0.0,0.1225,548.275024,0.025,750.307421,0.203125,1.0625,0.0,0.203125
C,Cost-aware,1,-0.01348,0.000894,1.109136,8.298151,0.0,0.05,0.02375,1.05,0.175,0.02625,0.02375,585.375,0.025,348.609319,,,,
C,Cost-aware,2,-0.037728,0.000352,1.192389,8.461343,0.0,0.1,0.06875,1.25,0.225,0.03125,0.06875,647.724976,0.025,372.969509,,,,
C,Cost-aware,3,0.07635,0.001781,1.165358,8.73042,1e-06,0.175,0.1475,1.1,0.275,0.0275,0.1475,588.924988,0.025,359.059327,,,,
C,Cost-aware,4,0.120272,0.000917,1.344062,9.770388,1e-06,0.2,0.17875,0.85,0.425,0.02125,0.17875000000000002,493.575012,0.025,334.576773,,,,
C,Cost-aware,5,0.067938,0.010383,1.172207,9.047042,1e-06,0.05,0.028125,0.875,0.325,0.021875,0.028125,511.549988,0.025,330.308747,,,,
C,Cost-aware,6,-0.009867,0.048412,1.176915,9.490919,1e-06,0.05,0.038125,0.475,0.6,0.011875,0.038125000000000006,290.799988,0.025,253.360647,,,,
C,Cost-aware,7,0.05466,0.100137,1.055602,9.029034,1e-06,0.125,0.108125,0.675,0.55,0.016875,0.108125,403.125,0.025,298.474709,,,,
C,Cost-aware,8,0.125446,0.016738,1.198222,9.956771,1e-06,0.15,0.138125,0.475,0.6,0.011875,0.138125,311.825012,0.025,267.966177,,,,
C,Cost-aware,9,-0.056667,0.144846,1.056578,10.392018,1e-06,0.2,0.195,0.2,0.825,0.005,0.195,171.125,0.025,231.442094,,,,
C,Cost-aware,10,0.194194,0.188363,1.139743,10.758058,1e-06,0.175,0.169375,0.225,0.775,0.005625,0.169375,178.675003,0.025,203.750396,,,,
C,Cost-aware,11,-0.103591,0.155778,1.199635,7.939961,1e-06,0.075,0.071875,0.125,0.9,0.003125,0.071875,143.350006,0.025,206.812283,,,,
C,Cost-aware,12,-0.004101,0.515257,1.082488,5.746147,1e-06,0.0,-0.00375,0.15,0.9,0.00375,-0.00375,150.699997,0.025,219.775435,,,,
C,Cost-aware,13,0.044717,0.328383,1.248389,5.496481,1e-06,0.0,-0.000625,0.025,0.975,0.000625,-0.0006250000000000001,112.425003,0.025,176.899958,,,,
C,Cost-aware,14,0.022359,0.160989,1.153248,4.178771,1e-06,0.0,-0.003125,0.125,0.95,0.003125,-0.003125,134.975006,0.025,210.818444,,,,
C,Cost-aware,15,0.140111,0.143927,1.275991,11.030222,1e-06,0.1,0.09875,0.05,0.95,0.00125,0.09875,96.800003,0.025,177.602359,,,,
C,Cost-aware,16,0.0,0.182397,1.232866,0.093942,1e-06,0.0,0.0,0.0,1.0,0.0,0.0,77.400002,0.025,181.740922,,,,
C,Cost-aware,17,0.095388,0.257688,1.287194,9.007,1e-06,0.075,0.074375,0.025,0.975,0.000625,0.074375,82.324997,0.025,173.924587,,,,
C,Cost-aware,18,-0.04062,0.399621,1.355235,9.408025,1e-06,0.075,0.07375,0.05,0.975,0.00125,0.07375,112.375,0.025,212.163956,,,,
C,Cost-aware,19,0.067076,0.137683,1.294343,2.765989,1e-06,0.0,-0.000625,0.025,0.975,0.000625,-0.0006250000000000001,86.824997,0.025,179.044176,,,,
C,Cost-aware,20,0.0,0.093603,1.354197,0.077061,1e-06,0.0,0.0,0.0,1.0,0.0,0.0,80.324997,0.025,403.85077,0.0625,0.03125,0.984375,0.061719
